,Unnamed: 0,title,section,subsection,p_number,shorturl,pubinfo,text
28,28,Abduction,2. Explicating Abduction,,7,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," Alas, there is a catch. For even though there may be many hypotheses Hj that imply Hn+1 and, had they been formulated, would have been evaluated as being a better explanation for the data than the best explanation among the candidate explanations we started out with, Hn+1 itself will in general be hardly informative; in fact, in general it will not even be clear what its empirical consequences are. Suppose, for instance, we have as competing explanations Special Relativity Theory and Lorentz’s version of the æther theory. Then, following the above proposal, we may add to our candidate explanations that neither of these two theories is true. But surely this further hypothesis will be ranked quite low qua explanation—if it will be ranked at all, which seems doubtful, given that it is wholly unclear what its empirical consequences are. This is not to say that the suggested procedure may never work. The point is that in general it will give little assurance that the best explanation is among the candidate explanations we consider."
29,29,Abduction,2. Explicating Abduction,,8,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," A more promising response to the above “argument of the bad lot” begins with the observation that the argument capitalizes on a peculiar asymmetry or incongruence in ABD1. The rule gives license to an absolute conclusion—that a given hypothesis is true—on the basis of a comparative premise, namely, that that particular hypothesis is the best explanation of the evidence relative to the other hypotheses available (see Kuipers 2000, 171). This incongruence is not avoided by replacing “truth” with “probable truth” or “approximate truth.” In order to avoid it, one has two general options."
30,30,Abduction,2. Explicating Abduction,,9,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," The first option is to modify the rule so as to have it require an absolute premise. For instance, following Alan Musgrave (1988) or Peter Lipton (1993), one may require the hypothesis whose truth is inferred to be not only the best of the available potential explanations, but also to be satisfactory (Musgrave) or good enough (Lipton), yielding the following variant of ABD1:"
31,31,Abduction,2. Explicating Abduction,,10,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," Needless to say, ABD2 needs supplementing by a criterion for the satisfactoriness of explanations, or their being good enough, which, however, we are still lacking."
32,32,Abduction,2. Explicating Abduction,,11,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," Secondly, one can formulate a symmetric or congruous version of abduction by having it sanction, given a comparative premise, only a comparative conclusion; this option, too, can in turn be realized in more than one way. Here is one way to do it, which has been proposed and defended in the work of Theo Kuipers (e.g., Kuipers 1984, 1992, 2000)."
33,33,Abduction,2. Explicating Abduction,,12,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," Clearly, ABD3 requires an account of closeness to the truth, but many such accounts are on offer today (see, e.g., Niiniluoto 1998)."
34,34,Abduction,2. Explicating Abduction,,13,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," One noteworthy feature of the congruous versions of abduction considered here is that they do not rely on the assumption of an implausible privilege on the reasoner’s part that, we saw, ABD1 implicitly relies on. Another is that if one can be certain that, however many candidate explanations for the data one may have missed, none equals the best of those one has thought of, then the congruous versions license exactly the same inference as ABD1 does (supposing that one would not be certain that no potential explanation is as good as the best explanation one has thought of if the latter is not even satisfactory or sufficiently good)."
35,35,Abduction,2. Explicating Abduction,,14,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," As mentioned, there is widespread agreement that people frequently rely on abductive reasoning. Which of the above rules exactly is it that people rely on? Or might it be still some further rule that they rely on? Or might they in some contexts rely on one version, and in others on another (Douven 2017, forthcoming)? Philosophical argumentation is unable to answer these questions. In recent years, experimental psychologists have started paying attention to the role humans give to explanatory considerations in reasoning. For instance, Tania Lombrozo and Nicholas Gwynne (2014) report experiments showing that how a property of a given class of things is explained to us—whether mechanistically, by reference to parts and processes, or functionally, by reference to functions and purposes—matters to how likely we are to generalise that property to other classes of things (see also Sloman 1994 and Williams and Lombrozo 2010). And Igor Douven and Jonah Schupbach (2015a), (2015b) present experimental evidence to the effect that people’s probability updates tend to be influenced by explanatory considerations in ways that makes them deviate from strictly Bayesian updates (see below). Douven (2016b) shows that, in the aforementioned experiments, participants who gave more weight to explanatory considerations tended to be more accurate, as determined in terms of a standard scoring rule. (See Lombrozo 2012 and 2016 for useful overviews of recent experimental work relevant to explanation and inference.) Douven and Patricia Mirabile (2018) found some evidence indicating that people rely on something like ABD2, at least in some contexts, but for the most part, empirical work on the above-mentioned questions is lacking."
36,36,Abduction,2. Explicating Abduction,,15,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," With respect to the normative question of which of the previously stated rules we ought to rely on (if we ought to rely on any form of abduction), where philosophical argumentation should be able to help, the situation is hardly any better. In view of the argument of the bad lot, ABD1 does not look very good. Other arguments against abduction are claimed to be independent of the exact explication of the rule; below, these arguments will be found wanting. On the other hand, arguments that have been given in favor of abduction—some of which will also be discussed below—do not discern between specific versions. So, supposing people do indeed commonly rely on abduction, it must be considered an open question as to which version(s) of abduction they rely on. Equally, supposing it is rational for people to rely on abduction, it must be considered an open question as to which version, or perhaps versions, of abduction they ought to, or are at least permitted to, rely on."
37,37,Abduction,3. The Status of Abduction,,16,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," Even if it is true that we routinely rely on abductive reasoning, it may still be asked whether this practice is rational. For instance, experimental studies have shown that when people are able to think of an explanation for some possible event, they tend to overestimate the likelihood that this event will actually occur. (See Koehler 1991, for a survey of some of these studies; see also Brem and Rips 2000.) More telling still, Lombrozo (2007) shows that, in some situations, people tend to grossly overrate the probability of simpler explanations compared to more complicated ones. Although these studies are not directly concerned with abduction in any of the forms discussed so far, they nevertheless suggest that taking into account explanatory considerations in one’s reasoning may not always be for the better. (It is to be noted that Lombrozo’s experiments are directly concerned with some proposals that have been made for explicating abduction in a Bayesian framework; see Section 4.) However, the most pertinent remarks about the normative status of abduction are so far to be found in the philosophical literature. This section discusses the main criticisms that have been levelled against abduction, as well as the strongest arguments that have been given in its defense."
38,38,Abduction,3. The Status of Abduction,3.1 Criticisms,0,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," We have already encountered the so-called argument of the bad lot, which, we saw, is valid as a criticism of ABD1 but powerless against various (what we called) congruous rules of abduction. We here consider two objections that are meant to be more general. The first even purports to challenge the core idea underlying abduction; the second is not quite as general, but it is still meant to undermine a broad class of candidate explications of abduction. Both objections are due to Bas van Fraassen."
39,39,Abduction,3. The Status of Abduction,3.1 Criticisms,1,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," The first objection has as a premise that it is part of the meaning of “explanation” that if one theory is more explanatory than another, the former must be more informative than the latter (see, e.g., van Fraassen 1983, Sect. 2). The alleged problem then is that it is “an elementary logical point that a more informative theory cannot be more likely to be true [and thus] attempts to describe inductive or evidential support through features that require information (such as ‘Inference to the Best Explanation’) must either contradict themselves or equivocate” (van Fraassen 1989, 192). The elementary logical point is supposed to be “most [obvious] … in the paradigm case in which one theory is an extension of another: clearly the extension has more ways of being false” (van Fraassen 1985, 280)."
40,40,Abduction,3. The Status of Abduction,3.1 Criticisms,2,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," It is important to note, however, that in any other kind of case than the “paradigm” one, the putative elementary point is not obvious at all. For instance, it is entirely unclear in what sense Special Relativity Theory “has more ways of being false” than Lorentz’s version of the æther theory, given that they make the same predictions. And yet the former is generally regarded as being superior, qua explanation, to the latter. (If van Fraassen were to object that the former is not really more informative than the latter, or at any rate not more informative in the appropriate sense—whatever that is—then we should certainly refuse to grant the premise that in order to be more explanatory a theory must be more informative.)"
41,41,Abduction,3. The Status of Abduction,3.1 Criticisms,3,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," The second objection, proffered in van Fraassen 1989 (Ch. 6), is levelled at probabilistic versions of abduction. The objection is that such rules must either amount to Bayes’ rule, and thus be redundant, or be at variance with it but then, on the grounds of Lewis’ dynamic Dutch book argument (as reported in Teller 1973), be probabilistically incoherent, meaning that they may lead one to assess as fair a number of bets which together ensure a financial loss, come what may; and, van Fraassen argues, it would be irrational to follow a rule that has this feature."
42,42,Abduction,3. The Status of Abduction,3.1 Criticisms,4,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," However, this objection fares no better than the first. For one thing, as Patrick Maher (1992) and Brian Skyrms (1993) have pointed out, a loss in one respect may be outweighed by a benefit in another. It might be, for instance, that some probabilistic version of abduction does much better, at least in our world, than Bayes’ rule, in that, on average, it approaches the truth faster in the sense that it is faster in assigning a high probability (understood as probability above a certain threshold value) to the true hypothesis (see Douven 2013, 2020, and Douven and Wenmackers 2017; see Climenhaga 2017 for discussion). If it does, then following that rule instead of Bayes’ rule may have advantages which perhaps are not so readily expressed in terms of money yet which should arguably be taken into account when deciding which rule to go by. It is, in short, not so clear whether following a probabilistically incoherent rule must be irrational."
43,43,Abduction,3. The Status of Abduction,3.1 Criticisms,5,abduction,"First published Wed Mar 9, 2011; substantive revision Tue May 18, 2021"," For another thing, Douven (1999) argues that the question of whether a probabilistic rule is coherent is not one that can be settled independently of considering which other epistemic and decision-theoretic rules are deployed along with it; coherence should be understood as a property of packages of both epistemic and decision-theoretic rules, not of epistemic rules (such as probabilistic rules for belief change) in isolation. In the same paper, a coherent package of rules is described which includes a probabilistic version of abduction. (See Kvanvig 1994, Harman 1997, Leplin 1997, Niiniluoto 1999, and Okasha 2000, for different responses to van Fraassen’s critique of probabilistic versions of abduction.)"
